Date,AAPL,PFE,XOM,JPM,GE,ED,O,DD,NFLX,KO,TSLA,AMZN,SP500
2019-01-01 00:00:00-05:00,0.05515394907562099,-0.027491235290873828,0.07464445177111245,0.060233714668964655,0.3439862850350486,0.015563987548511848,0.09343970787703215,0.006170745584457071,0.26840019186647157,0.016473207236534115,-0.07746391633639815,0.14431709005232074,0.07868440166582613
2019-02-01 00:00:00-05:00,0.04031474323737139,0.030120022316715955,0.07846613748149767,0.016497723983917467,0.06354327841118201,0.061815675272543835,0.010221549986529022,-0.010778916037280983,0.05478646864069403,-0.057968013163737786,0.04188646728344558,-0.04590598487961817,0.029728889343927145
2019-03-01 00:00:00-05:00,0.10173086241785234,-0.020299842314463135,0.03374747254790256,-0.0299923476080054,-0.03849841789495334,0.03835326355022306,0.06712424164616526,0.008360104677539892,-0.004300498516262796,0.033524498995893826,-0.1251093857440413,0.08593570731353273,0.01792425624958849
2019-04-01 00:00:00-04:00,0.05643558046540953,-0.04379577929504119,-0.006436012686569681,0.14639915088116573,0.019096370449911637,0.015918185682849417,-0.04533888966101551,0.07250339525834204,0.03920801851596045,0.056088035456600904,-0.14710923820280408,0.08185874546916994,0.03931349831373798
2019-05-01 00:00:00-04:00,-0.127572441850759,0.022408226969224287,-0.11846014570297725,-0.07995860813682532,-0.07177966791143897,0.0016249011183695483,0.004265512745507127,-0.2062420398959135,-0.07356833037455979,0.00142693992375853,-0.22426582233190806,-0.07861319674779288,-0.0657777313668354
2019-06-01 00:00:00-04:00,0.13487275018999423,0.05260654908955864,0.09521491553796335,0.055115064425047766,0.11228822052579246,0.024804721092258397,-0.012615752250004109,0.16658530607236055,0.07003032110932206,0.03643364044505826,0.20684812952665022,0.06679174655008091,0.0689301639982407
2019-07-01 00:00:00-04:00,0.07639445503028797,-0.10341648900097433,-0.029622724890504992,0.0375670207862695,-0.0038040228666702536,-0.0310222756837214,0.006772287405370392,-0.038763958107260965,-0.1206850054609615,0.041650954279794705,0.08122252974300093,-0.014179183493694736,0.013128152166957952
2019-08-01 00:00:00-04:00,-0.02018392584293771,-0.08470644382737524,-0.0790747603553057,-0.046226061523141126,-0.21052645771349987,0.046374924662932804,0.06993247287234583,-0.05473988035030952,-0.090529091050646,0.04579121947532605,-0.06622236595163389,-0.048473822697145064,-0.018091627240523933
2019-09-01 00:00:00-04:00,0.07703822714740327,0.020144597235483674,0.043924501037984065,0.07127254002622041,0.0836363764018826,0.07172270049080942,0.04208384062093162,0.04975667601322087,-0.08895320811170215,-0.010901276253185599,0.0676388894701141,-0.022732743159706414,0.017181177931020697
2019-10-01 00:00:00-04:00,0.11068425060960063,0.06791008126069187,-0.04305327817304028,0.06143265596403391,0.11753796405879102,-0.023817216419843912,0.06978919769160652,-0.0757254106662465,0.0739481686944059,0.007126195452417106,0.3074272210164204,0.023474701269111886,0.020431770513684056
2019-11-01 00:00:00-04:00,0.07432897964545404,0.0039091780562585665,0.008287665357539886,0.06320431861747555,0.12925865119779179,-0.057796657769546345,-0.06048593621055065,-0.016689301466764506,0.09481228785632734,-0.01892338677729921,0.047694647129001844,0.013587301227403925,0.034047037714499906
2019-12-01 00:00:00-05:00,0.10208259422462085,0.026963699383419915,0.03657026752572512,0.05798395854558147,-0.009760424124222844,0.050082386277779056,-0.03633325646769947,-0.00482398030836928,0.028316289195995825,0.04425941721464732,0.2678971533628465,0.026121694264473083,0.02858981890573009
2020-01-01 00:00:00-05:00,0.05400992681274963,-0.04951503634883625,-0.10977359028485045,-0.05050197346603269,0.11660272583624098,0.03901850761514947,0.06824425283333335,-0.202803851173054,0.06650798444402395,0.05510385689336572,0.5551598573434691,0.0870638027865227,-0.0016280928190489652
2020-02-01 00:00:00-05:00,-0.11679758434134091,-0.09341042378102382,-0.17192517271672503,-0.11713948871505797,-0.12610451524312916,-0.1614894110500701,-0.07404421298269681,-0.16178171225397042,0.06937321480036673,-0.08407541050874945,0.02677646887053875,-0.06221372013363058,-0.08411048363840312
2020-03-01 00:00:00-05:00,-0.06755379745122725,-0.023339403850168083,-0.2512614992783062,-0.22461463786906133,-0.2702205100986951,-0.0023099569274862564,-0.30902197992538305,-0.2000503519836898,0.017532453302184337,-0.172742786295066,-0.2155570713684315,0.035020571318223226,-0.12511928240892822
2020-04-01 00:00:00-04:00,0.1553739649373871,0.1752449038623478,0.22386074336759942,0.06364541643701127,-0.14272645611080015,0.010256525647843073,0.10633556556349122,0.37888565212581593,0.11810920400403635,0.0461575845229536,0.492137319488021,0.2689001176660717,0.1268440381652789
2020-05-01 00:00:00-04:00,0.08216466495809827,-0.004431695733624563,-0.021519225868122382,0.02674612462699777,-0.03382314763955607,-0.047461906439103196,0.011364679141296907,0.07890263277086929,-0.00028580472893435793,0.017215035192125416,0.06793886833783369,-0.012784941240091774,0.04528181966555822
2020-06-01 00:00:00-04:00,0.15049223204787698,-0.13522152128124665,0.002575217137363195,-0.03339868662075629,0.03957367828687319,-0.031500277139196564,0.08027389186761447,0.05370039913732971,0.08412550123737494,-0.042845042005360434,0.2931856328270819,0.12956672853391127,0.01838839651392421
2020-07-01 00:00:00-04:00,0.1651316711820663,0.1767584129815749,-0.05903401371701611,0.027429492582544457,-0.10994155748663936,0.06812188808505404,0.013209784580783257,0.006587702803675377,0.07436707916321583,0.06690204768041785,0.3250108843981532,0.1471136218500213,0.055101321480443666
